,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives,epochs_neginf,epochs_pu
237,0.7876,0.4341,0.8594,0.2904,214,1855,35,523,RGCN,Cora,0.1,81,81,111,171
238,0.7781,0.3711,0.9053,0.2334,172,1872,18,565,RGCN,Cora,0.1,81,81,111,181
239,0.8196,0.5768,0.8433,0.4383,323,1830,60,414,RGCN,Cora,0.1,81,81,111,191
240,0.378,0.4299,0.2893,0.8358,616,377,1513,121,RGCN,Cora,0.1,81,81,121,1
241,0.641,0.1618,0.2345,0.1235,91,1593,297,646,RGCN,Cora,0.1,81,81,121,11
242,0.7777,0.4622,0.7192,0.3406,251,1792,98,486,RGCN,Cora,0.1,81,81,121,21
243,0.8013,0.5429,0.7654,0.4206,310,1795,95,427,RGCN,Cora,0.1,81,81,121,31
244,0.7929,0.5318,0.7271,0.4193,309,1774,116,428,RGCN,Cora,0.1,81,81,121,41
245,0.8108,0.6002,0.7372,0.5061,373,1757,133,364,RGCN,Cora,0.1,81,81,121,51
246,0.7842,0.4279,0.8346,0.2877,212,1848,42,525,RGCN,Cora,0.1,81,81,121,61
247,0.8222,0.595,0.8245,0.4654,343,1817,73,394,RGCN,Cora,0.1,81,81,121,71
248,0.8002,0.5098,0.8174,0.3704,273,1829,61,464,RGCN,Cora,0.1,81,81,121,81
249,0.7998,0.4782,0.8893,0.327,241,1860,30,496,RGCN,Cora,0.1,81,81,121,91
250,0.8013,0.5314,0.7851,0.4016,296,1809,81,441,RGCN,Cora,0.1,81,81,121,101
251,0.8158,0.5477,0.8799,0.3976,293,1850,40,444,RGCN,Cora,0.1,81,81,121,111
252,0.8291,0.6224,0.8186,0.502,370,1808,82,367,RGCN,Cora,0.1,81,81,121,121
253,0.8047,0.5043,0.8758,0.3541,261,1853,37,476,RGCN,Cora,0.1,81,81,121,131
254,0.7971,0.4643,0.8953,0.3134,231,1863,27,506,RGCN,Cora,0.1,81,81,121,141
255,0.8002,0.4734,0.9077,0.3202,236,1866,24,501,RGCN,Cora,0.1,81,81,121,151
256,0.7922,0.4485,0.8775,0.3012,222,1859,31,515,RGCN,Cora,0.1,81,81,121,161
257,0.7625,0.286,0.9124,0.1696,125,1878,12,612,RGCN,Cora,0.1,81,81,121,171
258,0.7929,0.4472,0.8907,0.2985,220,1863,27,517,RGCN,Cora,0.1,81,81,121,181
259,0.7811,0.3928,0.8857,0.2524,186,1866,24,551,RGCN,Cora,0.1,81,81,121,191
260,0.3772,0.2591,0.1944,0.3881,286,705,1185,451,RGCN,Cora,0.1,81,81,131,1
261,0.7922,0.481,0.8032,0.3433,253,1828,62,484,RGCN,Cora,0.1,81,81,131,11
262,0.7838,0.5966,0.6259,0.5699,420,1639,251,317,RGCN,Cora,0.1,81,81,131,21
263,0.783,0.5815,0.6336,0.5373,396,1661,229,341,RGCN,Cora,0.1,81,81,131,31
